id,book_url,Book-Title,Book-Author,author_url,score,ISBN,rating,rating_count,review_count,page_count,year,genres
3636,/book/show/3636.The_Giver,"The Giver (The Giver, #1)",Lois Lowry,https://www.goodreads.com/author/show/2493.Lois_Lowry,407467,9780385732550,4.13,1729590,64308,208,2006,Young Adult
168668,/book/show/168668.Catch_22,"Catch-22 (Catch-22, #1)",Joseph Heller,https://www.goodreads.com/author/show/3167.Joseph_Heller,404817,9780684833392,3.98,709541,17843,453,2004,Classics
44767458,/book/show/44767458-dune,"Dune (Dune, #1)",Frank Herbert,https://www.goodreads.com/author/show/58.Frank_Herbert,400892,9780593099322,4.23,719231,20914,688,2019,Science Fiction
5043,/book/show/5043.The_Pillars_of_the_Earth,"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,https://www.goodreads.com/author/show/3447.Ken_Follett,388909,null,4.32,632106,30707,976,2002,Historical
149267,/book/show/149267.The_Stand,The Stand,Stephen King,https://www.goodreads.com/author/show/3389.Stephen_King,386882,9780385199575,4.34,598030,19575,1153,1990,Horror
3590,/book/show/3590.The_Adventures_of_Sherlock_Holmes,The Adventures of Sherlock Holmes,Arthur Conan Doyle,https://www.goodreads.com/author/show/2448.Arthur_Conan_Doyle,372669,null,4.30,235450,6534,389,1998,Classics
76620,/book/show/76620.Watership_Down,"Watership Down (Watership Down, #1)",Richard  Adams,https://www.goodreads.com/author/show/7717.Richard_Adams,369178,9780380395866,4.06,423922,13432,478,1975,Classics
2623,/book/show/2623.Great_Expectations,Great Expectations,Charles Dickens,https://www.goodreads.com/author/show/239579.Charles_Dickens,362191,9780192833594,3.78,635823,15604,505,1998,Classics
332613,/book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest,One Flew Over the Cuckoo's Nest,Ken Kesey,https://www.goodreads.com/author/show/7285.Ken_Kesey,346722,null,4.19,618823,10614,325,1963,Classics
6514,/book/show/6514.The_Bell_Jar,The Bell Jar,Sylvia Plath,https://www.goodreads.com/author/show/4379.Sylvia_Plath,345502,null,4.01,573995,22336,294,2006,Classics
15823480,/book/show/15823480-anna-karenina,Anna Karenina,Leo Tolstoy,https://www.goodreads.com/author/show/128382.Leo_Tolstoy,342226,null,4.05,648000,23317,964,2012,Classics
1934,/book/show/1934.Little_Women,Little Women,Louisa May Alcott,https://www.goodreads.com/author/show/1315.Louisa_May_Alcott,340652,9780451529305,4.08,1637926,29378,449,2004,Classics
